"species_code","access_gradient_max","spawn_gradient_min","rear_gradient_min","cluster_rearing","cluster_direction","cluster_bridge_gradient","cluster_bridge_distance","cluster_confluence_m","cluster_spawning","cluster_spawn_direction","cluster_spawn_bridge_gradient","cluster_spawn_bridge_distance","cluster_spawn_confluence_m","observation_threshold","observation_date_min","observation_buffer_m","observation_species","observation_control_apply"
"BT",0.25,0,0,TRUE,"both",0.05,10000,10,FALSE,"",NA,NA,NA,1,"1900-01-01",20,"BT;CH;CO;SK;PK;CM;ST",FALSE
"CH",0.15,0,0,TRUE,"both",0.05,10000,10,FALSE,"",NA,NA,NA,5,"1990-01-01",20,"CH;CM;CO;PK;SK",TRUE
"CM",0.15,0,0,FALSE,"",NA,NA,NA,FALSE,"",NA,NA,NA,5,"1990-01-01",20,"CH;CM;CO;PK;SK",TRUE
"CO",0.15,0,0,TRUE,"both",0.05,10000,10,FALSE,"",NA,NA,NA,5,"1990-01-01",20,"CH;CM;CO;PK;SK",TRUE
"CT",0.25,0,0,FALSE,"",NA,NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"DV",0.25,0,0,FALSE,"",NA,NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"PK",0.15,0,0,FALSE,"",NA,NA,NA,FALSE,"",NA,NA,NA,5,"1990-01-01",20,"CH;CM;CO;PK;SK",TRUE
"RB",0.25,0,0,FALSE,"",NA,NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"SK",0.15,0,0,TRUE,"both",0.05,10000,10,TRUE,"both",0.05,3000,10,5,"1990-01-01",20,"CH;CM;CO;PK;SK",TRUE
"ST",0.2,0,0,TRUE,"both",0.05,10000,10,FALSE,"",NA,NA,NA,5,"1990-01-01",20,"CH;CM;CO;PK;SK;ST",TRUE
"WCT",0.2,0,0,TRUE,"both",0.05,10000,10,FALSE,"",NA,NA,NA,1,"1900-01-01",20,"WCT",FALSE
